type,german,english,example_de,example_en,date_last_used,times_used,notes,subtype
verb_prep,abhängen von (+Dat),to depend on,"Ob wir den Ausflug machen, hängt vom Wetter ab.",,,0,,Verb + Präp.
verb_prep,Abschied nehmen von (+Dat),to say goodbye to / to take one's leave of,Toma Popescu musste wegen der hohen Arbeitslosigkeit Abschied von seiner Heimat nehmen.,,,0,from uploaded list,Verb + Präp.
verb_prep,Abstand halten von (+Dat),to keep one's distance from,"Halten Sie Abstand von den Baumaschinen, damit Sie sich nicht verletzen",,,0,from uploaded list,Verb + Präp.
verb_prep,achten auf (+Akk),to pay attention to / to watch out for,Worauf sollte man bei der Berufswahl achten?,,,0,,Verb + Präp.
verb_prep,anfangen mit (+Dat),to start with / to begin with,Wann haben Sie mit dem Deutschlernen angefangen?,,2026-08-27,1,,Verb + Präp.
verb_prep,Angst haben vor (+Dat),be afraid of,Wovor haben Sie Angst?,,,0,from uploaded list,Verb + Präp.
verb_prep,Angst machen (+Dat),to frighten / scare someone,Schnelles Autofahren macht ihr Angst.,,,0,from uploaded list,Verb + Präp.
verb_prep,ankommen auf (+Akk),to depend on / to hinge on,Es kommt auf die persönlichen Interessen an.,,,0,,Verb + Präp.
verb_prep,Anstrengungen unternehmen für (+Akk),to make efforts for,Fadi Samet unternimmt große Anstrengungen für seine Selbstständigkeit.,,,0,from uploaded list,Verb + Präp.
verb_prep,arbeiten an (+Dat),to work on,Sie arbeitet seit Monaten an einem neuen Roman.,,,0,,Verb + Präp.
verb_prep,auf der Suche sein nach (+Dat),be looking/searching for,Toma Popescu war auf der Suche nach einer Arbeit in seinem Bereich.,,,0,from uploaded list,Verb + Präp.
verb_prep,aufhören mit (+Dat),to stop / to cease,"Die Ärztin rät ihm, mit dem Rauchen aufzuhören.",,2026-09-02,1,,Verb + Präp.
verb_prep,aufkommen für (+Akk),to pay for / to cover the costs of / to be liable for,Malaika Hadrawi kann für ihren Lebensunterhalt aufkommen.,,,0,,Verb + Präp.
verb_prep,aufs Spiel setzen (+Akk),to put at risk / to stake,Mit Vertragsverletzungen setzen Sie das Geschäftsverhältnis aufs Spiel.,,2026-09-04,1,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,aus dem Weg gehen (+Dat),to avoid / to get out of someone's way,Meinem Kollegen gehe ich heute lieber aus dem Weg. Er hat schlechte Laune.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,basieren auf (+Dat),to be based on,Der Film basiert auf einem wahren Ereignis aus dem 19. Jahrhundert.,,,0,,Verb + Präp.
verb_prep,begegnen (+Dat),to run into / encounter,,,2026-08-31,1,"governs dative, no preposition — grouped as valence pattern",Verb + Präp.
verb_prep,beginnen mit (+Dat),to begin with / to start with,"Toma, wann beginnst du auf der Arbeit mit dem Duzen?",,,0,,Verb + Präp.
verb_prep,beharren auf (+Dat),to persist in / to (stubbernly) stick to a position,"Er beharrt auf seiner Meinung, obwohl alle Beweise dagegen sprechen. / Trotz heftiger Kritik beharrte sie auf ihrem Standpunkt.",,,0,,Verb + Präp.
verb_prep,beneiden um (+Akk),to envy,"Viele beneiden ihn um seinen Erfolg, ohne zu wissen, wie hart er dafür gearbeitet hat.",,,0,,Verb + Präp.
